specObjID,bestObjID,plate,mjd,fiberID,survey,class,subClass,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
1.0336E+19,1237663543143170689,9180,57693,850,eboss,GALAXY,STARBURST,323.6393,-0.1459082,22.03101,21.75462,21.45975,21.01082,22.07073
1.035514E+19,1237678617945964551,9197,57680,874,eboss,GALAXY,STARBURST,339.9656,1.60835,24.13618,23.36242,22.23082,22.00962,22.08851
1.035741E+19,1237678617954025771,9199,57684,945,eboss,GALAXY,STARFORMING,358.5094,1.789319,23.0015,23.08297,22.36146,21.70962,21.14756
1.036637E+19,1237663480336221167,9207,57667,771,eboss,GALAXY,STARBURST,341.746,1.027008,24.26326,23.75406,22.20545,21.94325,20.54687
1.048351E+19,1237678890138862249,9311,57743,929,eboss,GALAXY,STARBURST,42.61494,-1.54281,23.54199,22.65423,22.19545,21.54196,21.56818
1.048446E+19,1237676672323289518,9312,57784,294,eboss,GALAXY,STARBURST,43.95372,-2.496053,23.44842,22.89882,22.38222,22.47893,21.53672
1.049125E+19,1237679323935146151,9318,58068,422,eboss,GALAXY,STARBURST,35.12775,-3.781101,22.31271,22.58518,22.18122,21.76362,21.50606
1.052953E+19,1237674366456168491,9352,57805,430,eboss,GALAXY,STARBURST,118.5426,33.52134,21.72971,21.56077,21.2276,20.99173,21.03426
1.053171E+19,1237654653097280175,9354,57806,155,eboss,GALAXY,STARBURST,118.7357,35.5491,22.84952,22.46601,21.97875,22.22999,21.77428
1.053285E+19,1237674289146233660,9355,57814,219,eboss,GALAXY,STARFORMING,121.8597,33.98331,22.7682,21.50998,20.26059,19.6989,19.36915
1.054294E+19,1237674366454595839,9364,57699,47,eboss,GALAXY,STARBURST,114.5819,32.39154,22.37357,21.98105,22.1352,21.90386,21.92648
1.054294E+19,1237674366454661218,9364,57699,65,eboss,GALAXY,STARFORMING,114.6075,32.52797,23.33556,22.46662,21.74178,21.87639,21.32439
1.054295E+19,1237653587403538780,9364,57699,84,eboss,GALAXY,STARFORMING,114.4232,32.11707,22.19764,22.25826,21.53049,21.56678,21.23772
1.05441E+19,1237657596220473831,9365,57749,162,eboss,GALAXY,STARFORMING,116.9649,32.13441,21.02744,20.68913,20.20214,20.31794,19.78473
1.054413E+19,1237674365918380821,9365,57749,294,eboss,GALAXY,STARBURST,116.3119,32.44071,21.75697,21.45094,20.83306,20.56263,20.13135
1.054745E+19,1237653587943097067,9368,57817,64,eboss,GALAXY,STARBURST,118.2141,37.3014,23.33017,22.40447,21.8692,21.22643,20.79742
1.05566E+19,1237666407921418584,9376,58072,602,eboss,GALAXY,STARBURST,36.18979,-0.02877009,25.17463,23.16151,22.59787,21.8928,22.36082
1.055991E+19,1237678881030865352,9379,58081,326,eboss,GALAXY,STARBURST,23.44636,-2.118538,23.5706,22.79193,22.02341,21.94098,21.49943
1.05611E+19,1237678437554127217,9380,58081,578,eboss,GALAXY,STARBURST,41.77448,1.417186,24.087,22.9129,22.26004,22.12653,21.44184
1.057455E+19,1237663783131087291,9392,58104,360,eboss,GALAXY,BROADLINE,16.95047,-0.6325294,23.42496,22.82639,22.82978,22.13774,21.5599
1.059029E+19,1237663783662191268,9406,58067,259,eboss,GALAXY,STARBURST,3.846681,-0.2121847,23.6957,22.75202,22.30142,21.95347,20.90919
1.061184E+19,1237669772453085885,9425,58136,841,eboss,GALAXY,BROADLINE,31.39113,4.404215,22.79116,22.94324,22.58288,21.859,22.12116
1.075138E+19,1237667783889125884,9549,57807,578,eboss,GALAXY,STARBURST,138.1427,16.86454,23.97447,23.08016,22.26962,21.71865,21.60639
1.075691E+19,1237667485383262815,9554,57807,215,eboss,GALAXY,BROADLINE,140.4131,17.92718,22.81519,22.34316,21.69821,21.30722,20.7877
1.076034E+19,1237667429553210274,9557,58098,401,eboss,GALAXY,STARBURST,132.4637,16.99003,22.80564,22.66476,22.04457,22.02053,21.19879
1.078173E+19,1237671124306231339,9576,57864,397,eboss,GALAXY,STARBURST,155.1303,15.3816,23.5267,22.80262,22.35871,21.84439,21.75673
1.078635E+19,1237667538542723724,9580,57865,820,eboss,GALAXY,STARBURST,146.3224,20.64632,23.05066,23.29204,22.55461,22.23576,21.5175
1.078972E+19,1237667735566680782,9583,57809,821,eboss,GALAXY,STARBURST,146.3266,18.31194,24.67481,23.44183,22.39583,22.55177,21.48463
9.972251E+18,1237657594613465446,8857,57449,564,eboss,GALAXY,STARBURST,124.6709,37.60785,22.50338,22.13039,22.34889,22.07262,22.15836
9.981157E+18,1237665026515337423,8865,57426,195,eboss,GALAXY,STARBURST,183.8958,36.06499,21.53456,21.02277,20.62039,20.60392,20.9138
9.982254E+18,1237664671639208265,8866,57457,90,eboss,GALAXY,STARBURST,187.0227,36.30694,21.87201,21.4552,20.88885,20.86124,20.33101
9.985795E+18,1237664672715243685,8869,57481,688,eboss,GALAXY,STARBURST,193.5217,36.88376,22.53395,22.3579,21.92793,21.61536,21.13377
9.985818E+18,1237664672715374754,8869,57481,771,eboss,GALAXY,STARBURST,193.9335,36.79271,21.97108,21.49937,21.85143,21.62135,21.37153
9.986749E+18,1237664672716685800,8870,57779,61,eboss,GALAXY,STARBURST,197.6115,36.53537,22.54842,21.94302,21.77975,21.31255,21.70724
9.986789E+18,1237664817681662112,8870,57779,206,eboss,GALAXY,STARBURST,196.5426,35.93554,21.38534,21.45291,21.54305,21.70118,22.83454
9.990324E+18,1237664818211061807,8873,57427,780,eboss,GALAXY,STARFORMING,175.3257,36.55226,24.21198,21.23,21.03692,20.89852,21.106
9.991414E+18,1237664820357366315,8874,57426,647,eboss,GALAXY,STARBURST,171.8423,37.85608,23.2791,21.70983,21.25501,21.36939,21.41219
9.995985E+18,1237664293688246663,8878,57785,893,eboss,GALAXY,STARBURST,209.4172,36.50818,21.85229,21.61651,21.20428,20.90358,20.77283
1.008474E+19,1237667430101287511,8957,57511,190,eboss,GALAXY,STARBURST,158.5746,24.83734,23.11386,23.27648,22.55827,21.89498,21.46496
